x1,x2,x3,x4,x5,y
0.815604341,0.001370836,0.00313698,0.088572542,0.260727351,-1.018278214
0.022803401,0.428147418,0.346172287,0.548185011,0.926169083,1.636505442
0.298561379,0.341323539,0.872350494,0.344774638,0.138120403,1.090465236
0.507904313,0.864862976,0.390068568,0.704469507,0.627904178,1.134115287
0.4504816,0.478155053,0.963927844,0.084551176,0.27982892,0.896827409
0.447100054,0.593200011,0.890776375,0.475019868,0.437418476,1.195687128
0.746339757,0.4723929,0.873717912,0.472398697,0.498104487,0.478943227
0.487531786,0.231667013,0.086833344,0.06823359,0.888390935,0.074561031
0.233216063,0.869849575,0.722393054,0.883826589,0.938002007,2.099968707
0.139718261,0.397673584,0.995246384,0.652930363,0.896409779,1.896443168
0.482330458,0.014228082,0.63220774,0.234011441,0.527433963,0.264198695
0.725142382,0.613234643,0.597177009,0.43890414,0.244172894,0.376467346
0.429049354,0.010274952,0.617938318,0.970063404,0.095446524,0.61172206
0.035597948,0.894724964,0.250639218,0.009027551,0.814920271,1.708447604
0.140528587,0.888295283,0.096805017,0.357008883,0.593420568,1.495035349
0.585303051,0.674077945,0.657731074,0.438837537,0.139758759,0.734963047
0.752085517,0.244103035,0.660199703,0.86819284,0.084370471,0.175551918
0.972290849,0.031761312,0.847914415,0.846258802,0.049857501,-0.355843926
0.545999469,0.952205109,0.326287006,0.81664321,0.601398755,1.146085315
0.789784294,0.806840975,0.050306979,0.286772177,0.653456824,0.062081202
0.489756938,0.982171854,0.759698261,0.575006457,0.298964163,1.413570595
0.256162918,0.895056796,0.453491535,0.826283793,0.098337302,1.642022831
0.859771801,0.027893685,0.912620959,0.911291342,0.52410601,0.06380368
0.120224451,0.179497303,0.716681286,0.841850274,0.034833821,1.391364096
0.757995946,0.966281011,0.34800487,0.646297391,0.343005812,0.603460951
0.216516309,0.793732181,0.733917956,0.282357435,0.582431429,1.680602614
0.421093131,0.092950696,0.024387125,0.49734333,0.27826702,0.083217295
0.339827656,0.290102328,0.173462446,0.404301421,0.697649568,0.610056757
0.203718696,0.672709686,0.449700835,0.438762804,0.175239442,1.351730675
0.193242397,0.622326453,0.273038939,0.566740231,0.944783992,1.447809628
0.714619873,0.685726365,0.973746939,0.785117872,0.607726966,1.009410717
0.94819905,0.060212972,0.27273621,0.999130472,0.772206732,-0.448437131
0.475452926,0.687422358,0.423178194,0.384946118,0.213270389,0.786284221
0.383017441,0.029951959,0.479393893,0.337579352,0.975844804,0.528680117
0.555558781,0.85441096,0.41417409,0.467848143,0.826306721,0.979049943
0.991408853,0.528966902,0.939294954,0.748347213,0.567430056,0.246987362
0.968978664,0.832397864,0.973979062,0.654501987,0.379573485,0.524717457
0.47667356,0.920625429,0.015076287,0.158671089,0.471567877,0.666119735
0.543104354,0.060262854,0.667884058,0.900861172,0.109632606,0.439456175
0.437863943,0.282914605,1,0.616440333,0.253749207,1.011435251
0.132642242,0.550225866,0.840199979,0.847568039,0.833348647,2.027468683
0.203757701,0.549633049,0.888044655,0.122526926,0.856350769,1.567781607
0.899962703,0.219952203,0.078131817,0.480199047,0.835027466,-0.578088154
0.469490891,0.417733725,0.510274697,0.127022825,0.132285325,0.447833944
0.87065597,0.608726254,0.269274518,0.875715096,0.058109458,0.0079044
0.457848859,0.729128185,0.344075535,0.406282652,0.526979752,0.893306104
0.894421249,0.785817108,0.070406356,0.282302373,0.379369835,-0.223850346
0.864851947,0.423983457,0.243469547,0.605196023,0.479404404,-0.210798259
0.898733931,0.943663457,0.830134377,0.717854351,0.74322057,0.791288992
0.899896453,0.065864782,0.340941313,0.004389775,0.828095603,-0.773054945
0.507540659,0.369670157,0.230033561,0.541580487,0.289484866,0.361058541
0.068385083,0.085784738,0.069362826,0.414987771,0.123381382,0.735237147
0.443108509,0.907551296,0.358934611,0.121694588,0.569111025,0.980502619
0.875214277,0.351914215,0.042548756,0.144135834,0.076592835,-0.779731654
0.740680233,0.460898494,0.678256094,0.708069516,0.571357212,0.469121276
0.628823782,0.886172626,0.672270204,0.886460024,0.467517019,1.171727107
0.141365353,0.068787164,0.724937914,0.311872352,0.671163972,1.142928213
0.652556199,0.536136119,0.725815487,0.511180579,0.487999359,0.636942592
0.4979416,0.944941904,0.395111027,0.118623363,0.240423554,0.850938669
0.685050598,0.8472934,0.984672179,0.217884732,0.760343346,0.994715743
0.584224039,0.406811727,0.517677997,0.501898508,0.651368343,0.527940326
0.743860448,0.304846088,0.09095384,0.836387933,0.389587009,-0.107870375
0.775465712,0.181087395,0.110998852,0.916580084,0.876351004,-0.117552784
1,0.872533973,0.037429749,0.551555521,0.997616182,-0.085927035
0.511114177,0.881880147,0.071273012,1,0.92271343,1.128609697
0.564377992,0.435595324,0.342903659,0.729817881,0.013655567,0.420099244
0.374137802,0.931524254,0.554662972,0.479866614,0.496537318,1.445502335
